IndexCol,HKE01AUG07,HKE04JUL07,HKE06JUL07,HKE08AUG07,HKE09JUL07,HKE10AUG07,HKE12JUL07,HKE17JUL07,HKE20JUL07,HKE20JUN07,HKE22AUG07,HKE23JUL07,HKE24AUG07,HKE26JUL07,HKE26JUN07,HKE27AUG07
35,0.0,0.0,0.0,5.161556725508413e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00042963785978305364,0.0
36,0.00033679005252882835,0.0,0.0,0.0,0.00048099322043772074,0.0001551521415868351,0.0004749673580859686,0.000129366106080207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002854341383033311
38,0.0007035840488614881,0.0,0.0003011443485243927,0.0009156230493817335,0.0,0.0017783731474193452,0.00018944885648706502,0.00045278137128072445,0.0006874967004651361,0.0,0.0,0.0006205398696866273,0.0014348130556570454,0.0008436472160856714,0.0,0.0032244729979750302
39,0.0,0.00016269798689390964,0.0,0.0005243894208293487,0.0,2.2978997196562344e-05,0.0,0.0,0.0004061235997335661,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.00023101090371465533,0.0009218041536316728,0.0003096934035305048,0.00021941854086670324,2.2978997196562344e-05,0.00022841480127912289,6.46830530401035e-05,0.0,0.00037091421050525273,0.0002904725019364833,0.00037306596832400763,0.0008144562172695165,2.4617202501107776e-05,0.00019906317112158145,0.0025184246350279304
41,0.0,0.0,4.10711352061771e-05,0.0,0.0,0.0,0.0,0.00014858841010401187,0.0,0.0,0.0,3.878374185541421e-05,0.0,0.0,2.0160477400104834e-05,0.0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0160477400104834e-05,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000124750499001996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,9.240436148586214e-05,4.10711352061771e-05,0.0,0.0,0.0,5.710370031978072e-05,0.0004265429262882307,0.0,8.566044200788077e-05,0.0,0.0,0.0,0.0,6.929086946063348e-05,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000124750499001996,0.0,0.0,0.0,0.000620356838387529,0.0,0.00019906317112158145,0.00015432098765432098
48,0.0008876557140964863,0.0,0.0,0.00010323113451016826,5.485463521667581e-05,0.00034192235957396304,0.0,0.0,0.0,0.00045200309786529386,0.0,3.878374185541421e-05,0.0,0.00038521426115358415,0.0,0.0
51,0.0,4.620218074293107e-05,0.0,0.0013285475874224065,0.00010970927043335162,0.00027868620677337733,5.710370031978072e-05,0.0,0.0004061235997335661,0.0,0.00022592305706170928,0.0,0.00038819875776397513,0.0,0.0019503107564156049,0.0001311131506490101
52,0.0,0.0,0.0,0.0,0.0070335752552361935,0.0,0.00013234515616728428,0.0,0.0004061235997335661,0.0,0.0,0.0,0.0,0.0,0.001431221549771813,0.0
53,0.0013158069321741453,0.0,4.10711352061771e-05,0.0005243894208293487,0.0004050605158688878,0.0002470681303730844,0.0008330368817957636,6.46830530401035e-05,0.0002813731007315701,0.00021872265966754156,0.0,7.756748371082842e-05,0.0,0.0001716875037829341,2.0160477400104834e-05,0.0
54,0.010320475853178353,0.003941050323260253,0.003924325942771789,0.03139528218594882,0.00885215779022629,0.02406392804192517,0.005164846804889262,0.01020041174175219,0.0006874967004651361,0.0016649639499191436,0.0004951847002635326,0.006165739506878688,0.013613597612958227,0.004930869125510841,0.015098646461957849,0.02442722977336849
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000124750499001996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,0.0,4.620218074293107e-05,4.10711352061771e-05,0.0,0.0,0.0,0.00013234515616728428,0.0,0.0,0.0,0.0,0.0,0.0,9.107365858993155e-05,2.0160477400104834e-05,0.0
64,0.0,0.0,0.0,0.00013315579227696404,5.485463521667581e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00042625745950554135,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000124750499001996,0.0,0.0,3.878374185541421e-05,0.0,0.0,0.0,0.0
