IndexCol,SSE01OCT07,SSE03JUL07,SSE05JUL07,SSE07AUG07,SSE07NOV07,SSE09AUG07,SSE10SEP07,SSE11JUL07,SSE13JUL07,SSE15OCT07,SSE16JUL07,SSE17SEP07,SSE19JUL07,SSE19JUN07,SSE19JUN07.R3,SSE21AUG07,SSE22JUN07,SSE22OCT07,SSE23AUG07,SSE24JUL07,SSE24SEP07,SSE25JUN07,SSE27AUG07,SSE27JUN07,SSE30OCT07,SSE31JUL07
11,0.013306951342927531,0.011288114375468433,0.015639512917202596,0.02455666207634672,0.0086054473071299,0.020673669712498826,0.0030817605291904356,0.017141164182701965,0.024880220903363927,0.004239201107914637,0.031941414030770464,0.006194593471154258,0.002841677292226041,0.035436832504864936,0.04255982368548543,0.004299379007203136,0.0241241090776997,0.0034920274824993516,0.002879958193127358,0.015637067525700935,0.00570498807715109,0.007419753057500452,0.002875916965074918,0.007434410653731389,0.007389777668829119,0.01899336829087506
12,0.0002037363416882009,0.0004695892375109389,0.0006188514103289802,0.0015774604724596605,4.288164665523156e-05,0.0009140543395685704,0.0,0.0004103563250713052,0.0006206658285529704,3.29663084327817e-05,0.0008983336053404878,0.0,0.0,0.00015673981191222572,8.116224332440549e-05,4.564959371861591e-05,0.0002743226485288039,0.0,0.00010706638115631691,0.0003985033997329618,5.2284847851092756e-05,0.0,0.0,0.00038007818543641216,0.0,0.00013713658804168953
13,0.0,0.0006241366670932065,0.0005623849095347793,7.696649391964698e-05,0.0,0.0,0.0,0.0011320451532559354,0.0006707579851624115,0.0,0.0006727357710796967,0.0,0.0,0.0037893396820968513,0.003918747390466533,0.0,0.0035041899966179397,0.0,0.0,7.401047329081061e-05,0.0,0.0004575611988103409,0.0,0.000567045901319648,0.0,0.00027427317608337906
15,0.003492001867896959,0.009897187509228024,0.010324567193718832,0.0038631903717839056,0.006793049786125098,0.005129357096112137,0.0031873305821903952,0.011784035672679067,0.005015418785033204,0.0023833310214195717,0.008929402215481922,0.004515423769376269,0.0058073133623415,0.013048267316623216,0.01343421716506141,0.004342062696682462,0.005107536983452958,0.0017262985048828968,0.0033421068284558647,0.00988231872571342,0.004098073327419053,0.010381407711233595,0.005957733070713651,0.009665650043022243,0.0041716620073254575,0.0044818596311173246
16,0.00044064702636007955,0.0012300370011535324,0.0,0.0,0.0,0.0,0.0008496176720475786,0.002612180130960511,0.00027019337981392034,0.0013877700229053369,0.0,0.001046690226144047,0.0017605789265966508,0.0,0.0,0.0021817022707110623,0.0,0.0017269736842105263,0.0009242972706570137,0.0006970593530198802,0.0007796741322527956,0.0005688282138794084,0.0006657218348389037,0.0007146473773344082,0.0,0.0
17,0.0,2.120980741494867e-05,0.0,0.0,0.007502491682850597,0.0,0.0,6.2266500622665e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017150919483087655,0.0,0.0,0.0,0.0,0.0,0.0
20,0.028021295942527932,0.12016826525336698,0.09960603533146017,0.08339731270628584,0.00010909884355225835,0.06463674480186982,0.0415509821175709,0.09795062869079661,0.1612397563804463,0.006912253943550915,0.11041393476186373,0.08359453954436794,0.0455602892365808,0.05660157676040895,0.04298550710085956,0.08140708407810777,0.04652336752971829,0.0006572195575144759,0.05889890157823777,0.09678679314753841,0.04442609620707169,0.03869710619870493,0.04794528007830941,0.056383095693119556,7.635336336565625e-05,0.11615754093944952
21,0.00108503039440836,4.241961482989734e-05,0.0,0.0010526722768045259,0.0002181976871045167,0.0014457394331524411,0.00018601190476190475,0.00018679950186799502,0.00011046598124081842,0.0008508479090902233,0.00013242061019954195,0.000868033809697978,0.0003139198428039956,0.0005554853907436486,0.00044967229698352574,0.0006420602162999131,0.00012212994626282364,0.00028749135770460635,0.0011628244564540068,0.00013885290617889258,0.0007432447794771845,0.0,0.00020542264036249412,5.6583488937927916e-05,0.00021199593198805553,0.00184510152039747
22,0.019494942025353554,0.019855294624145807,0.028666523598818668,0.05956007609544127,0.021794243697997935,0.04539425490780761,0.005552700317595178,0.02722974330132969,0.04877469551750107,0.014439417594664255,0.05892583760790769,0.02675700122964951,0.011457259344216163,0.027818724705323497,0.023238063920705324,0.008772458676562865,0.023308030513697342,0.02423893786189612,0.010281789226516208,0.04576715534036315,0.012480965331648811,0.011744721453764066,0.01429874996979329,0.011023653777532512,0.024255164010150085,0.0632197704756231
23,0.0024993734876402464,0.00654061830455596,0.008249050843178575,0.013554163083001185,0.017210295786988156,0.01092765337696837,0.0011160714285714285,0.006152331980878159,0.006677220291781389,0.0033609641490375047,0.008130050585068972,0.0020836037492980982,0.0004967002018856281,0.011342382709044538,0.011916315870063431,0.0025741726736782334,0.0055553467864166445,0.0017677545155993432,0.0014596291764385982,0.009072121389646885,0.0014569580844491516,0.0028503876386640776,0.0009039549176352384,0.004086209016902594,0.022724919073620866,0.012632098415900374
